,token,RT,brown_bigram_surprisal,length,index
0,If,578.9642857142857,1.9141621589660645,2,0
1,you,369.0119047619047,0.987995147705078,3,1
2,were,368.183908045977,1.721557378768921,4,2
3,to,344.31818181818176,1.5749027729034424,2,3
4,journey,354.63953488372096,4.775415420532227,7,4
5,to,349.6741573033708,1.1968498229980469,2,5
6,the,376.3707865168539,0.8707906603813171,3,6
7,North,327.3103448275862,2.960479021072388,5,7
8,of,365.49438202247205,1.2022712230682373,2,8
9,"England,",344.9310344827586,3.218778848648072,8,9
10,you,400.2696629213483,3.357069969177246,3,10
11,would,372.5909090909091,2.240639925003052,5,11
12,come,350.3793103448276,2.1377670764923096,4,12
13,to,319.08045977011494,0.753867506980896,2,13
14,a,355.9310344827586,1.585523009300232,1,14
15,valley,343.8588235294117,4.05663013458252,6,15
16,that,330.7325581395349,2.22778058052063,4,16
17,is,346.7790697674419,1.553897738456726,2,17
18,surrounded,360.28735632183907,4.026213645935059,10,18
19,by,337.04651162790697,0.2216989547014236,2,19
20,moors,359.36470588235284,5.858429431915283,5,20
21,as,395.4302325581396,2.376854658126831,2,21
22,high,414.59770114942535,2.7407052516937256,4,22
23,as,390.953488372093,1.71573805809021,2,23
24,mountains.,434.03614457831327,5.09515905380249,10,24
25,It,457.3452380952381,1.4451422691345217,2,25
26,is,399.9285714285713,0.7738510370254517,2,26
27,in,325.24705882352947,1.7662293910980225,2,27
28,this,318.26744186046506,1.5936355590820312,4,28
29,valley,341.2235294117648,3.708395481109619,6,29
30,where,375.8,2.434073209762573,5,30
31,you,363.129411764706,1.6127114295959473,3,31
32,would,365.43678160919546,2.240639925003052,5,32
33,find,323.55813953488376,2.4479775428771973,4,33
34,the,305.3294117647059,1.075185775756836,3,34
35,city,355.85714285714283,2.6573615074157715,4,35
36,of,320.2988505747127,1.1748508214950562,2,36
37,"Bradford,",418.43678160919546,5.055567741394043,9,37
38,where,440.57647058823534,3.2118680477142334,5,38
39,once,377.3095238095238,3.994963169097901,4,39
40,a,353.9540229885057,1.367979884147644,1,40
41,thousand,397.4137931034482,3.023288488388061,8,41
42,spinning,455.13953488372096,4.978632926940918,8,42
43,jennies,459.0238095238095,5.62407112121582,7,43
44,that,539.3176470588235,2.3357510566711426,4,44
45,hummed,538.5348837209302,5.930795669555664,6,45
46,and,432.3139534883721,1.0145249366760254,3,46
47,clattered,407.40697674418607,4.476662635803223,9,47
48,spun,414.8117647058824,4.614415645599365,4,48
49,wool,453.96470588235286,5.021198749542236,4,49
50,into,426.87209302325584,2.841937303543091,4,50
51,money,392.5595238095237,4.250314712524414,5,51
52,for,384.20689655172407,1.245116949081421,3,52
