id,sentence
1,if you happened to find yourself on the banks of the ohio river on a particular afternoon in the spring of 1806 somewhere just to the north of wheeling west virginia say you would probably have noticed a strange makeshift craft drifting lazily down the river
2,at the time this particular stretch of the ohio wide and brown and bounded on both sides by steep shoulders of land thick with oaks and hickories fairly boiled with river traffic as a ramshackle armada of keelboats and barges ferried settlers from the comparative civilization of pennsylvania to the wilderness of the northwest territory
3,the peculiar craft you d have caught sight of that afternoon consisted of a pair of hollowed out logs that had been lashed together to form a rough catamaran a sort of canoe plus sidecar
4,in one of the dugouts lounged the figure of a skinny man of about thirty who may or may not have been wearing a burlap coffee sack for a shirt and a tin pot for a hat
5,according to the man in jefferson county who deemed the scene worth recording the fellow in the canoe appeared to be snoozing without a care in the world evidently trusting in the river to take him wherever it was he wanted to go
6,the other hull his sidecar was riding low in the water under the weight of a small mountain of seeds that had been carefully blanketed with moss and mud to keep them from drying out in the sun
7,the fellow snoozing in the canoe was john chapman already well known to people in ohio by his nickname johnny appleseed
8,he was on his way to marietta where the muskingum river pokes a big hole into the ohio s northern bank pointing straight into the heart of the northwest territory
9,chapman s plan was to plant a tree nursery along one of that river s as yet unsettled tributaries which drain the fertile thickly forested hills of central ohio as far north as mansfield
10,in all likelihood chapman was coming from allegheny county in western pennsylvania to which he returned each year to collect apple seeds separating them out from the fragrant mounds of pomace that rose by the back door of every cider mill
11,a single bushel of apple seeds would have been enough to plant more than three hundred thousand trees there s no way of telling how many bushels of seed chapman had in tow that day but it s safe to say his catamaran was bearing several whole orchards into the wilderness
12,the image of john chapman and his heap of apple seeds riding together down the ohio has stayed with me since i first came across it a few years ago in an out of print biography
13,the scene for me has the resonance of myth a myth about how plants and people learned to use each other each doing for the other things they could not do for themselves in the bargain changing each other and improving their common lot
14,henry david thoreau once wrote that it is remarkable how closely the history of the apple tree is connected with that of man and much of the american chapter of that story can be teased out of chapman s story
15,it s the story of how pioneers like him helped domesticate the frontier by seeding it with old world plants
16,exotics we re apt to call these species today in disparagement yet without them the american wilderness might never have become a home
17,what did the apple get in return a golden age untold new varieties and half a world of new habitat
18,of the man lounging in the two hulled canoe robert price his biographer wrote that he had the thick bark of queerness on him
19,indeed
20,a man with no fixed address his entire adult life chapman preferred to spend his nights out of doors one winter he set up house in a hollowed out sycamore stump outside defiance ohio where he operated a pair of nurseries
21,a vegetarian living on the frontier he deemed it a cruelty to ride a horse or chop down a tree he once punished his own foot for squashing a worm by throwing away its shoe
