id,sentence
0,the renaissance in childrens literature is turning out to be one of the most striking cultural characteristics of our times
1,whether we are reassessing the achievements of the past as with the film of the lord of the rings or falling in love with current heroes like harry potter there has never been another time when childrens literature could command such attention
2,about six months ago i wrote on these pages that philip pullman's novel the amber spyglass would be a worthy winner of the booker prize
3,in the event it didnt make the shortlist but it lived to fight another day
4,on tuesday night pullman walked away with the whitbread prize
5,that prize thrives on the neat concept of first dividing books up into categories - novel of the year childrens book of the year and so on - and then breaking down the categories for its overall prize
6,that meant that these judges could give the award to philip pullman without being accused of dumbing down to the level of a childrens book
7,peculiarly this still seems to be a very real fear
8,although we are currently seeing such an unexpected outpouring of energy in literature for children many commentators are still afraid to admit that these books can stand alongside other literature
9,novelists such as philip hensher and howard jacobson have mocked the adults who eagerly turn the pages of the harry potter books or even worse queue up to see the film without the excuse of a seven-year-old child by their side
10,and when peter jacksons film of the lord of the rings was released sceptical critics such as mark lawson thomas sutcliffe and david sexton poured scorn on people who took their childish delights into adulthood
11,they seem to believe that people who sink into tales that shrug off the adult world are absurd or even a bit dangerous
12,in one critics words we are proof of the infantilisation of adult culture
13,but these critics who are proud to be too sophisticated to enjoy a book where a bear talks or a dragon flies might be missing out
14,they needn't be afraid that they will lose their critical edge if they let down their guard against childish things for an instant
15,do we still have to spell it out
16,it really is possible to like rowling and roth to enjoy pullman as well as proust
17,what is endearing about the new breed of childrens writers is that they are firing a new bolt of energy into literature
18,nave
19,yes they may be nave
20,but what they dont suffer from is the deadening claustrophobia of so much acclaimed literature for grown-ups
21,readers who fell on hyped novels such as jonathan franzen's the corrections or margaret atwood's the blind assassin only to find them imaginatively underpowered will know what i mean when i say that even the biggest novels today can seem much smaller than life
22,still perhaps those novels honestly reflect the problematic aspects of our current condition whereas the childrens writers have the liberty of escapism
23,that may be true
24,but sometimes it is worth going on these journeys - not just to escape but also to return
