id,sentence
0,are tourists enticed by these attractions threatening their very existence
1,the two young sealions took not the slightest interest in our arrival
2,they were playing on the jetty rolling over and tumbling into the water together entirely ignoring the human beings edging awkwardly round them
3,our party then had to step gingerly over hundreds of marine iguanas basking on the rocks strange creatures with richly coloured velvet coats looking like something between a giant lizard and a miniature dinosaur and found nowhere else on earth except here in the galapagos
4,a little further on were the bluefooted boobies birds with brilliant chinablue feet again unique
5,and then there were the flightless cormorants birds with vestigial wings who over the generations have lost the ability to fly because the nutrients at the shoreline are so rich they have no need to leave
6,the island of fernandina lies at the far western edge of the galapagos archipelago dominated by a volcano that last erupted only six years ago and home to some of the most remarkable wildlife in the world
7,it was late afternoon on one of the last days of the year and we had come ashore to scramble round the rough dark lava rocks of punta espinosa on the island
8,in the golden afternoon light with the moon rising above the volcanoes on isabela island across the strait we could be forgiven for thinking that we were guests in paradise
9,the creatures you see in the galapagos are remarkable in their rarity
10,they are even more so for their lack of fear
11,they donot run away
12,they carry on basking or playing or mating or incubating their eggs or fighting for territory with blissful disregard for human beings
13,it is as if you are walking into a david attenborough programme and finding that the real thing is even better than you ever imagined
14,the closeness of the living natural world in this environment of volcanic rock and sweeping beaches and sparse vegetation makes the galapagos experience special
15,the colours help too
16,the intense black of the rock the startling blue of sea and sky the crimson of the mating frigatebirds the yellow of the warblers the brilliant orange of the american oystercatchers the glistening silver of hundreds of dolphins swooping round your ship in the dawn light
17,we spent eight days in all aboard a boat called tropic sun visiting all parts of the islands
18,we lived ate and slept on the boat and went ashore two or three times a day to walk the trails see the wildlife and snorkel in the sea
19,the boat was hardly the most luxurious experience wed ever had and was certainly not a centre of gastronomic excellence
20,but that really wasnot the point
21,it took us to the places we wanted to see and the expert guide we had who led us round the trails and explained the flora and fauna to us was the best we could possibly have wanted
22,you need not be an inveterate birdwatcher or naturalist to be captivated by what you see
23,you simply cannot help being taken over by a sense of wonder at this different and special world
24,darwins visit in aboard hms beagle lasted five times longer
25,he marvelled at the tortoises and the iguanas but it was the tiny finches that jolted his imagination most vividly
26,they are still called darwins finches in his honour
27,there are different species of the finches across the islands our group managed to see five or six
28,the fascination is in the beaks
29,each species on each island has over time developed a differently shaped beak adapted to the vegetation and the competition in that particular location
30,these tiny birds with tiny distinctions helped to produce one of the greatest ever advances in the history of scientific thought
31,since darwin called these islands on the equator have struggled to maintain the fragile balance of their ecology
32,over the years the indigenous animal population has been under increasing threat from wayward fishermen or from feral dogs goats and rats escaping from human settlements or boats
33,recently the ecuador authorities started trying to eradicate the invading species and have now succeeded in freeing some entire islands from nonnative creatures
34,a giant tortoise breeding programme is in place rearing infants in a protected environment at a time when they are at greatest risk and then returning them to the wild
35,and there are strict laws now in place against harming or destroying the wildlife though only recently a group of slain tortoises was discovered killed apparently for the japanese aphrodisiac market
36,the most serious ecological threat however is posed by the greatest economic boon the islands have ever had tourism
37,ninety boats ranging in size from passengers to do the rounds of the islands
38,and on the whole the schedules are managed well
39,the itineraries are staggered so that at most two or three boats might appear at one location at the same time
40,when you go ashore you have to be with a guide you cannot stray from the marked trails and you cannot touch the wildlife
41,one of the passengers on our boat was roundly and rightly chastised for stroking a young sealion an action with potentially fatal consequences for the sealion because of the risk of rejection by the mother
42,in a country as poor as ecuador the temptation to increase the numbers of tourists is always there
43,we were told theres been a recent request for permission for a much larger boat to travel round the galapagos carrying some passengers
44,i shudder to think what might happen if such a boat arrived at punta espinosa and disgorged everyone on to fernandina island at the same time
45,not only would the shock of a thousand tramping feet endanger the rock the sand and the teeming wildlife that depends on it but it would seriously degrade the quality of the visitors own experience
46,herein lies one of the oldest dilemmas about the evolution of tourism
47,we value and to want to visit the unique and fragile environments of the world
48,yet in visiting we risk destroying the very qualities that render those places so enticing
49,this is especially true where the rarity of the place is quite so marked as it is in the galapagos
50,responsible tourism lies in absolute respect for the location and its inhabitants
51,it lies in treading carefully wherever we go
52,it lies in ensuring that the economic contribution we make by going helps to conserve rather than to destroy
53,and it lies in developing the international networks protecting endangered species and world heritage so that they can make a difference on the ground
54,fortunately in the galapagos charles darwin would recognise much of what he saw if he returned today
55,it is our duty to ensure that he would recognise it again another two centuries hence
56,for the last three weeks there has been an utterly inexplicable rise in the prison population of about prisoners a week
57,the words of martin narey the directorgeneral of the prison service ought to prompt more than the customary political panic
