id,sentence
brown.0,The Fulton County Grand Jury said Friday an investigation of Atlanta's recent primary election produced `` no evidence '' that any irregularities took place .
brown.1,"The jury further said in term-end presentments that the City Executive Committee , which had over-all charge of the election , `` deserves the praise and thanks of the City of Atlanta '' for the manner in which the election was conducted ."
brown.2,The September-October term jury had been charged by Fulton Superior Court Judge Durwood Pye to investigate reports of possible `` irregularities '' in the hard-fought primary which was won by Mayor-nominate Ivan Allen Jr. .
brown.3,"`` Only a relative handful of such reports was received '' , the jury said , `` considering the widespread interest in the election , the number of voters and the size of this city '' ."
brown.4,The jury said it did find that many of Georgia's registration and election laws `` are outmoded or inadequate and often ambiguous '' .
brown.5,It recommended that Fulton legislators act `` to have these laws studied and revised to the end of modernizing and improving them '' .
brown.6,"The grand jury commented on a number of other topics , among them the Atlanta and Fulton County purchasing departments which it said `` are well operated and follow generally accepted practices which inure to the best interest of both governments '' ."
brown.7,Merger proposed
brown.8,"However , the jury said it believes `` these two offices should be combined to achieve greater efficiency and reduce the cost of administration '' ."
brown.9,"The City Purchasing Department , the jury said , `` is lacking in experienced clerical personnel as a result of city personnel policies '' ."
brown.10,It urged that the city `` take steps to remedy '' this problem .
brown.11,Implementation of Georgia's automobile title law was also recommended by the outgoing jury .
brown.12,It urged that the next Legislature `` provide enabling funds and re-set the effective date so that an orderly implementation of the law may be effected '' .
brown.13,The grand jury took a swipe at the State Welfare Department's handling of federal funds granted for child welfare services in foster homes .
brown.14,"`` This is one of the major items in the Fulton County general assistance program '' , the jury said , but the State Welfare Department `` has seen fit to distribute these funds through the welfare departments of all the counties in the state with the exception of Fulton County , which receives none of this money ."
brown.15,The jurors said they realize `` a proportionate distribution of these funds might disable this program in our less populous counties '' .
brown.16,"Nevertheless , `` we feel that in the future Fulton County should receive some portion of these available funds '' , the jurors said ."
brown.17,`` Failure to do this will continue to place a disproportionate burden '' on Fulton taxpayers .
brown.18,"The jury also commented on the Fulton ordinary's court which has been under fire for its practices in the appointment of appraisers , guardians and administrators and the awarding of fees and compensation ."
brown.19,Wards protected
brown.20,"The jury said it found the court `` has incorporated into its operating procedures the recommendations '' of two previous grand juries , the Atlanta Bar Association and an interim citizens committee ."
brown.21,"`` These actions should serve to protect in fact and in effect the court's wards from undue costs and its appointed and elected servants from unmeritorious criticisms '' , the jury said ."
brown.22,"Regarding Atlanta's new multi-million-dollar airport , the jury recommended `` that when the new management takes charge Jan. 1 the airport be operated in a manner that will eliminate political influences '' ."
